"","donorURI","time","amount","comment","run"
"1","/tracker/donor/23294/9",2014-01-13 22:37:33,4.95,"Yes","Bonus Stream"
"2","/tracker/donor/22292/9",2014-01-13 22:37:20,20,"No","Bonus Stream"
"3","/tracker/donor/17801/9",2014-01-13 22:36:01,200,"Yes","Bonus Stream"
"4",NA,2014-01-13 22:35:52,2,"Yes","Bonus Stream"
"5",NA,2014-01-13 22:35:24,20,"Yes","Bonus Stream"
"6","/tracker/donor/32089/9",2014-01-13 22:32:39,25,"Yes","Bonus Stream"
"7","/tracker/donor/9746/9",2014-01-13 22:32:16,10,"No","Bonus Stream"
"8",NA,2014-01-13 22:32:11,20,"Yes","Bonus Stream"
"9","/tracker/donor/20733/9",2014-01-13 22:31:57,50,"Yes","Bonus Stream"
"10","/tracker/donor/5254/9",2014-01-13 22:31:51,5,"Yes","Bonus Stream"
"11",NA,2014-01-13 22:30:45,40,"Yes","Bonus Stream"
"12","/tracker/donor/29871/9",2014-01-13 22:29:38,1,"Yes","Bonus Stream"
"13","/tracker/donor/16537/9",2014-01-13 22:29:30,5,"Yes","Bonus Stream"
"14","/tracker/donor/2621/9",2014-01-13 22:28:48,10,"Yes","Bonus Stream"
"15","/tracker/donor/32086/9",2014-01-13 22:28:43,10,"Yes","Bonus Stream"
"16","/tracker/donor/24541/9",2014-01-13 22:28:05,10,"Yes","Bonus Stream"
"17","/tracker/donor/32085/9",2014-01-13 22:27:49,10,"Yes","Bonus Stream"
"18","/tracker/donor/32083/9",2014-01-13 22:27:40,20,"Yes","Bonus Stream"
"19","/tracker/donor/8106/9",2014-01-13 22:27:31,15,"Yes","Bonus Stream"
"20","/tracker/donor/27775/9",2014-01-13 22:27:20,10,"Yes","Bonus Stream"
"21","/tracker/donor/24964/9",2014-01-13 22:26:56,5,"Yes","Bonus Stream"
"22","/tracker/donor/32084/9",2014-01-13 22:26:18,100,"Yes","Bonus Stream"
"23","/tracker/donor/32080/9",2014-01-13 22:26:13,10,"Yes","Bonus Stream"
"24",NA,2014-01-13 22:26:01,30,"Yes","Bonus Stream"
"25","/tracker/donor/22207/9",2014-01-13 22:25:37,5,"Yes","Bonus Stream"
"26","/tracker/donor/32079/9",2014-01-13 22:25:20,25,"Yes","Bonus Stream"
"27","/tracker/donor/32082/9",2014-01-13 22:25:11,10,"Yes","Bonus Stream"
"28","/tracker/donor/20793/9",2014-01-13 22:24:51,5,"No","Bonus Stream"
"29","/tracker/donor/12550/9",2014-01-13 22:24:40,50,"Yes","Bonus Stream"
"30","/tracker/donor/26310/9",2014-01-13 22:24:08,20,"Yes","Bonus Stream"
"31","/tracker/donor/25206/9",2014-01-13 22:23:56,5,"Yes","Bonus Stream"
"32","/tracker/donor/32027/9",2014-01-13 22:23:38,25,"Yes","Bonus Stream"
"33","/tracker/donor/32077/9",2014-01-13 22:22:50,5,"Yes","Bonus Stream"
"34","/tracker/donor/15189/9",2014-01-13 22:22:45,10,"Yes","Bonus Stream"
"35",NA,2014-01-13 22:22:19,50,"Yes","Bonus Stream"
"36",NA,2014-01-13 22:22:17,30,"Yes","Bonus Stream"
"37",NA,2014-01-13 22:21:55,10,"Yes","Bonus Stream"
"38","/tracker/donor/20364/9",2014-01-13 22:21:28,1,"Yes","Bonus Stream"
"39","/tracker/donor/32075/9",2014-01-13 22:21:12,10,"No","Bonus Stream"
"40",NA,2014-01-13 22:20:55,1,"Yes","Bonus Stream"
"41","/tracker/donor/32073/9",2014-01-13 22:20:18,10,"Yes","Bonus Stream"
"42",NA,2014-01-13 22:19:54,10,"Yes","Bonus Stream"
"43","/tracker/donor/25144/9",2014-01-13 22:19:51,100,"Yes","Bonus Stream"
"44","/tracker/donor/32074/9",2014-01-13 22:19:49,5,"Yes","Bonus Stream"
"45","/tracker/donor/15002/9",2014-01-13 22:18:09,20,"Yes","Bonus Stream"
"46","/tracker/donor/32071/9",2014-01-13 22:17:51,4.96,"Yes","Bonus Stream"
"47","/tracker/donor/28888/9",2014-01-13 22:17:44,10,"Yes","Bonus Stream"
"48","/tracker/donor/21551/9",2014-01-13 22:17:10,10,"Yes","Bonus Stream"
"49","/tracker/donor/9863/9",2014-01-13 22:16:43,5,"Yes","Bonus Stream"
"50","/tracker/donor/32070/9",2014-01-13 22:16:42,5,"Yes","Bonus Stream"
"51","/tracker/donor/4093/9",2014-01-13 22:16:37,4.2,"Yes","Bonus Stream"
"52","/tracker/donor/13194/9",2014-01-13 22:16:35,100,"Yes","Bonus Stream"
"53",NA,2014-01-13 22:15:40,5,"Yes","Bonus Stream"
"54","/tracker/donor/32069/9",2014-01-13 22:15:36,5,"No","Bonus Stream"
"55","/tracker/donor/15085/9",2014-01-13 22:15:16,5,"Yes","Bonus Stream"
"56","/tracker/donor/19754/9",2014-01-13 22:15:12,10,"Yes","Bonus Stream"
"57",NA,2014-01-13 22:15:07,10,"No","Bonus Stream"
"58",NA,2014-01-13 22:15:04,9.16,"Yes","Bonus Stream"
"59","/tracker/donor/24964/9",2014-01-13 22:14:36,15,"Yes","Bonus Stream"
"60","/tracker/donor/32063/9",2014-01-13 22:14:11,10,"No","Bonus Stream"
"61","/tracker/donor/27570/9",2014-01-13 22:14:06,5,"Yes","Bonus Stream"
"62","/tracker/donor/10599/9",2014-01-13 22:14:03,5,"Yes","Bonus Stream"
"63","/tracker/donor/32066/9",2014-01-13 22:13:37,20,"Yes","Bonus Stream"
"64",NA,2014-01-13 22:13:35,20,"Yes","Bonus Stream"
"65",NA,2014-01-13 22:13:27,20,"Yes","Bonus Stream"
"66","/tracker/donor/4543/9",2014-01-13 22:13:22,8,"Yes","Bonus Stream"
"67",NA,2014-01-13 22:13:16,5,"No","Bonus Stream"
"68",NA,2014-01-13 22:12:55,5,"Yes","Bonus Stream"
"69","/tracker/donor/3879/9",2014-01-13 22:12:36,5,"Yes","Bonus Stream"
"70","/tracker/donor/14438/9",2014-01-13 22:06:00,10,"No","Bonus Stream"
"71","/tracker/donor/11763/9",2014-01-13 22:03:49,15,"Yes","Bonus Stream"
"72","/tracker/donor/21451/9",2014-01-13 21:55:23,10,"Yes","Bonus Stream"
"73","/tracker/donor/21155/9",2014-01-13 21:55:11,5,"Yes","Bonus Stream"
"74","/tracker/donor/12/9",2014-01-13 21:55:06,10,"Yes","Bonus Stream"
"75","/tracker/donor/11717/9",2014-01-13 21:50:44,25,"Yes","Bonus Stream"
"76","/tracker/donor/32062/9",2014-01-13 21:47:39,10,"Yes","Bonus Stream"
"77",NA,2014-01-13 21:46:29,10,"Yes","Bonus Stream"
"78",NA,2014-01-13 21:46:24,5.8,"Yes","Bonus Stream"
"79","/tracker/donor/29608/9",2014-01-13 21:46:22,25,"Yes","Bonus Stream"
"80","/tracker/donor/32060/9",2014-01-13 21:46:22,20,"Yes","Bonus Stream"
"81","/tracker/donor/18613/9",2014-01-13 21:46:12,5,"Yes","Bonus Stream"
"82","/tracker/donor/31092/9",2014-01-13 21:46:07,5,"Yes","Bonus Stream"
"83","/tracker/donor/22975/9",2014-01-13 21:45:52,1.52,"Yes","Bonus Stream"
