"","time","amount","comment","donorURI","run"
"1",2017-01-15 00:09:49,10,"Yes",NA,"NA"
"2",2017-01-15 00:09:35,50,"Yes","/tracker/donor/328397/19","NA"
"3",2017-01-15 00:09:11,15,"Yes","/tracker/donor/348000/19","NA"
"4",2017-01-15 00:09:02,10,"Yes","/tracker/donor/348001/19","NA"
"5",2017-01-15 00:09:02,50,"Yes","/tracker/donor/16692/19","NA"
"6",2017-01-15 00:08:36,15,"Yes",NA,"NA"
"7",2017-01-15 00:08:18,10,"No",NA,"NA"
"8",2017-01-15 00:08:17,100,"Yes","/tracker/donor/347732/19","NA"
"9",2017-01-15 00:07:43,50,"Yes","/tracker/donor/334319/19","NA"
"10",2017-01-15 00:07:38,15,"No",NA,"NA"
"11",2017-01-15 00:07:29,50,"Yes","/tracker/donor/343923/19","NA"
"12",2017-01-15 00:07:29,50,"Yes","/tracker/donor/302553/19","NA"
"13",2017-01-15 00:07:20,50,"Yes","/tracker/donor/347999/19","NA"
"14",2017-01-15 00:06:51,10,"Yes","/tracker/donor/325979/19","Undertale True Pacifist Ending"
"15",2017-01-15 00:06:51,10,"Yes",NA,"Undertale True Pacifist Ending"
"16",2017-01-15 00:06:31,125,"Yes","/tracker/donor/347991/19","Undertale True Pacifist Ending"
"17",2017-01-15 00:06:27,150,"No",NA,"Undertale True Pacifist Ending"
"18",2017-01-15 00:06:14,100,"Yes",NA,"Undertale True Pacifist Ending"
"19",2017-01-15 00:06:10,12,"Yes","/tracker/donor/347993/19","Undertale True Pacifist Ending"
"20",2017-01-15 00:05:55,100,"No",NA,"Undertale True Pacifist Ending"
"21",2017-01-15 00:05:50,15,"Yes","/tracker/donor/347990/19","Undertale True Pacifist Ending"
"22",2017-01-15 00:05:50,15,"Yes","/tracker/donor/293109/19","Undertale True Pacifist Ending"
"23",2017-01-15 00:05:44,5,"No",NA,"Undertale True Pacifist Ending"
"24",2017-01-15 00:05:43,10,"Yes","/tracker/donor/347986/19","Undertale True Pacifist Ending"
"25",2017-01-15 00:05:35,15,"Yes","/tracker/donor/315658/19","Undertale True Pacifist Ending"
"26",2017-01-15 00:05:28,256,"Yes","/tracker/donor/24645/19","Undertale True Pacifist Ending"
"27",2017-01-15 00:05:28,50,"No",NA,"Undertale True Pacifist Ending"
"28",2017-01-15 00:05:28,10,"Yes","/tracker/donor/258979/19","Undertale True Pacifist Ending"
"29",2017-01-15 00:05:26,5,"Yes","/tracker/donor/47828/19","Undertale True Pacifist Ending"
"30",2017-01-15 00:05:17,5,"Yes",NA,"Undertale True Pacifist Ending"
"31",2017-01-15 00:05:17,10,"Yes","/tracker/donor/347982/19","Undertale True Pacifist Ending"
"32",2017-01-15 00:05:16,125.01,"No",NA,"Undertale True Pacifist Ending"
"33",2017-01-15 00:05:15,100,"Yes","/tracker/donor/39869/19","Undertale True Pacifist Ending"
"34",2017-01-15 00:05:01,10,"Yes",NA,"Undertale True Pacifist Ending"
"35",2017-01-15 00:04:56,5,"Yes","/tracker/donor/340359/19","Undertale True Pacifist Ending"
"36",2017-01-15 00:04:54,20,"No","/tracker/donor/265089/19","Undertale True Pacifist Ending"
"37",2017-01-15 00:04:50,15,"Yes","/tracker/donor/347985/19","Undertale True Pacifist Ending"
"38",2017-01-15 00:04:40,10,"No",NA,"Undertale True Pacifist Ending"
"39",2017-01-15 00:04:37,10,"No",NA,"Undertale True Pacifist Ending"
"40",2017-01-15 00:04:34,125,"Yes","/tracker/donor/347980/19","Undertale True Pacifist Ending"
"41",2017-01-15 00:04:31,75,"Yes","/tracker/donor/34047/19","Undertale True Pacifist Ending"
"42",2017-01-15 00:04:31,10,"Yes","/tracker/donor/325280/19","Undertale True Pacifist Ending"
"43",2017-01-15 00:04:30,10,"Yes","/tracker/donor/347978/19","Undertale True Pacifist Ending"
"44",2017-01-15 00:04:17,5,"Yes",NA,"Undertale True Pacifist Ending"
"45",2017-01-15 00:04:15,50,"Yes","/tracker/donor/330920/19","Undertale True Pacifist Ending"
"46",2017-01-15 00:04:08,25,"Yes",NA,"Undertale True Pacifist Ending"
"47",2017-01-15 00:04:04,100,"Yes","/tracker/donor/19969/19","Undertale True Pacifist Ending"
"48",2017-01-15 00:04:03,5,"Yes","/tracker/donor/347102/19","Undertale True Pacifist Ending"
"49",2017-01-15 00:03:47,25,"Yes","/tracker/donor/347975/19","Undertale True Pacifist Ending"
"50",2017-01-15 00:03:47,10,"Yes",NA,"Undertale True Pacifist Ending"
"51",2017-01-15 02:59:08,500,"Yes","/tracker/donor/326002/19","NA"
"52",2017-01-15 02:57:54,5,"Yes","/tracker/donor/259266/19","NA"
"53",2017-01-15 02:55:48,40,"Yes","/tracker/donor/50648/19","NA"
"54",2017-01-15 02:53:40,15,"Yes","/tracker/donor/348053/19","NA"
"55",2017-01-15 02:51:14,5,"No","/tracker/donor/50648/19","NA"
"56",2017-01-15 02:16:23,5,"No",NA,"NA"
"57",2017-01-15 02:06:59,5,"No",NA,"NA"
"58",2017-01-15 02:04:48,25,"No","/tracker/donor/348051/19","NA"
"59",2017-01-15 01:42:22,10,"Yes",NA,"NA"
"60",2017-01-15 01:25:37,25,"No","/tracker/donor/348049/19","NA"
"61",2017-01-15 01:10:46,30,"Yes","/tracker/donor/263790/19","NA"
"62",2017-01-15 00:52:38,50,"No","/tracker/donor/30632/19","NA"
"63",2017-01-15 00:50:04,5,"Yes",NA,"NA"
"64",2017-01-15 00:42:48,30,"Yes","/tracker/donor/255887/19","NA"
"65",2017-01-15 00:40:47,50,"No","/tracker/donor/17287/19","NA"
"66",2017-01-15 00:37:54,5,"No",NA,"NA"
"67",2017-01-15 00:26:29,50,"Yes",NA,"NA"
"68",2017-01-15 00:26:27,50,"No",NA,"NA"
"69",2017-01-15 00:25:57,100,"No","/tracker/donor/348044/19","NA"
"70",2017-01-15 00:24:41,30,"No","/tracker/donor/15849/19","NA"
"71",2017-01-15 00:23:59,75,"No","/tracker/donor/348043/19","NA"
"72",2017-01-15 00:23:26,5,"No","/tracker/donor/326604/19","NA"
"73",2017-01-15 00:22:58,5,"No","/tracker/donor/348041/19","NA"
"74",2017-01-15 00:22:51,20,"No","/tracker/donor/348040/19","NA"
"75",2017-01-15 00:22:41,5,"No","/tracker/donor/348038/19","NA"
"76",2017-01-15 00:22:30,5,"Yes","/tracker/donor/348037/19","NA"
"77",2017-01-15 00:22:20,50,"No",NA,"NA"
"78",2017-01-15 00:21:51,75,"No",NA,"NA"
"79",2017-01-15 00:20:49,5,"Yes","/tracker/donor/347253/19","NA"
"80",2017-01-15 00:20:34,5,"No",NA,"NA"
"81",2017-01-15 00:20:33,5,"No",NA,"NA"
"82",2017-01-15 00:20:24,7,"Yes","/tracker/donor/338556/19","NA"
"83",2017-01-15 00:19:55,75,"No","/tracker/donor/348034/19","NA"
"84",2017-01-15 00:19:43,10,"Yes","/tracker/donor/348032/19","NA"
"85",2017-01-15 00:19:26,10,"Yes",NA,"NA"
"86",2017-01-15 00:19:21,75,"No",NA,"NA"
"87",2017-01-15 00:18:57,15,"No","/tracker/donor/348031/19","NA"
"88",2017-01-15 00:18:44,50,"No",NA,"NA"
"89",2017-01-15 00:18:33,5,"No",NA,"NA"
"90",2017-01-15 00:18:26,30,"Yes","/tracker/donor/301631/19","NA"
"91",2017-01-15 00:18:25,25,"Yes",NA,"NA"
"92",2017-01-15 00:18:20,5,"No",NA,"NA"
"93",2017-01-15 00:18:10,30,"Yes",NA,"NA"
"94",2017-01-15 00:18:08,20,"No",NA,"NA"
"95",2017-01-15 00:18:05,10,"Yes","/tracker/donor/51665/19","NA"
"96",2017-01-15 00:18:03,8,"Yes","/tracker/donor/338556/19","NA"
"97",2017-01-15 00:17:48,25,"Yes","/tracker/donor/325961/19","NA"
"98",2017-01-15 00:17:47,100,"Yes","/tracker/donor/348020/19","NA"
"99",2017-01-15 00:17:45,10,"No","/tracker/donor/348029/19","NA"
"100",2017-01-15 00:17:38,15,"No",NA,"NA"
"101",2017-01-15 00:17:20,13.37,"Yes","/tracker/donor/348017/19","NA"
"102",2017-01-15 00:17:16,25,"No",NA,"NA"
"103",2017-01-15 00:17:06,30,"No",NA,"NA"
"104",2017-01-15 00:17:05,5,"No","/tracker/donor/13040/19","NA"
"105",2017-01-15 00:17:01,10,"Yes","/tracker/donor/348014/19","NA"
"106",2017-01-15 12:52:15,25,"Yes",NA,"NA"
"107",2017-01-15 12:42:44,20,"No","/tracker/donor/317808/19","NA"
"108",2017-01-15 00:16:58,75,"Yes",NA,"NA"
"109",2017-01-15 00:16:57,5,"No",NA,"NA"
"110",2017-01-15 00:16:46,20,"Yes",NA,"NA"
"111",2017-01-15 00:16:40,50,"No","/tracker/donor/30968/19","NA"
"112",2017-01-15 00:16:35,5,"No",NA,"NA"
"113",2017-01-15 00:16:30,50,"No","/tracker/donor/329239/19","NA"
"114",2017-01-15 00:16:29,10,"No",NA,"NA"
"115",2017-01-15 00:16:21,15,"Yes","/tracker/donor/330252/19","NA"
"116",2017-01-15 00:16:16,5,"Yes",NA,"NA"
"117",2017-01-15 12:41:59,5,"Yes","/tracker/donor/288680/19","NA"
"118",2017-01-15 12:37:54,50,"No","/tracker/donor/312295/19","NA"
"119",2017-01-15 12:35:19,25,"Yes",NA,"NA"
"120",2017-01-15 12:30:10,300,"Yes",NA,"NA"
"121",2017-01-15 12:22:55,10,"Yes",NA,"NA"
"122",2017-01-15 12:02:54,10,"Yes","/tracker/donor/348078/19","NA"
"123",2017-01-15 11:49:39,20,"No","/tracker/donor/257933/19","NA"
"124",2017-01-15 11:23:53,25,"No",NA,"NA"
"125",2017-01-15 11:15:39,25,"No","/tracker/donor/297245/19","NA"
"126",2017-01-15 11:10:03,20,"No",NA,"NA"
"127",2017-01-15 11:06:43,5,"No",NA,"NA"
"128",2017-01-15 10:36:11,5,"No","/tracker/donor/3917/19","NA"
"129",2017-01-15 00:16:15,100,"Yes","/tracker/donor/348030/19","NA"
"130",2017-01-15 00:16:14,10,"Yes","/tracker/donor/328705/19","NA"
"131",2017-01-15 00:16:09,25,"No",NA,"NA"
"132",2017-01-15 00:15:59,75,"No","/tracker/donor/51230/19","NA"
"133",2017-01-15 00:15:57,10,"Yes","/tracker/donor/348019/19","NA"
"134",2017-01-15 00:15:56,5,"Yes","/tracker/donor/258119/19","NA"
"135",2017-01-15 00:15:53,20,"No",NA,"NA"
"136",2017-01-15 00:15:51,75,"No",NA,"NA"
"137",2017-01-15 00:15:44,10,"No",NA,"NA"
"138",2017-01-15 00:15:42,5,"No",NA,"NA"
"139",2017-01-15 00:15:39,10,"Yes","/tracker/donor/348012/19","NA"
"140",2017-01-15 00:15:37,5,"Yes",NA,"NA"
"141",2017-01-15 10:24:49,20,"No",NA,"NA"
"142",2017-01-15 10:23:29,30,"Yes",NA,"NA"
"143",2017-01-15 09:50:14,20,"No","/tracker/donor/348073/19","NA"
"144",2017-01-15 09:45:55,10,"Yes","/tracker/donor/348072/19","NA"
"145",2017-01-15 09:37:47,10,"Yes",NA,"NA"
"146",2017-01-15 09:30:09,20,"No","/tracker/donor/348070/19","NA"
"147",2017-01-15 09:29:44,10,"No",NA,"NA"
"148",2017-01-15 09:04:29,100,"No","/tracker/donor/348069/19","NA"
"149",2017-01-15 08:46:29,30,"No",NA,"NA"
"150",2017-01-15 08:27:41,20,"Yes","/tracker/donor/27584/19","NA"
"151",2017-01-15 08:04:32,15,"No",NA,"NA"
"152",2017-01-15 07:35:06,5,"No","/tracker/donor/348066/19","NA"
"153",2017-01-15 07:31:19,20,"No",NA,"NA"
"154",2017-01-15 00:15:35,5,"No",NA,"NA"
"155",2017-01-15 00:15:34,15,"No","/tracker/donor/35006/19","NA"
"156",2017-01-15 00:15:30,5,"Yes",NA,"NA"
"157",2017-01-15 00:15:23,20,"No",NA,"NA"
"158",2017-01-15 00:15:21,25,"No","/tracker/donor/314663/19","NA"
"159",2017-01-15 00:15:11,10,"Yes",NA,"NA"
"160",2017-01-15 00:15:09,7.77,"Yes","/tracker/donor/39942/19","NA"
"161",2017-01-15 00:14:39,20,"Yes","/tracker/donor/348006/19","NA"
"162",2017-01-15 00:14:11,10,"Yes",NA,"NA"
"163",2017-01-15 00:14:05,10,"No",NA,"NA"
"164",2017-01-15 00:13:19,5,"Yes",NA,"NA"
"165",2017-01-15 00:13:19,20,"No",NA,"NA"
"166",2017-01-15 00:13:13,125,"No",NA,"NA"
"167",2017-01-15 07:27:59,45,"No","/tracker/donor/17287/19","NA"
"168",2017-01-15 07:23:43,5,"Yes",NA,"NA"
"169",2017-01-15 07:10:23,10,"Yes",NA,"NA"
"170",2017-01-15 07:01:04,40,"No","/tracker/donor/293120/19","NA"
"171",2017-01-15 06:47:07,75,"Yes","/tracker/donor/348062/19","NA"
"172",2017-01-15 06:29:58,30,"Yes","/tracker/donor/328228/19","NA"
"173",2017-01-15 05:43:32,10,"No",NA,"NA"
"174",2017-01-15 05:32:00,5,"Yes",NA,"NA"
"175",2017-01-15 05:22:27,50,"No",NA,"NA"
