"","donorURI","time","amount","comment","run"
"1","/tracker/donor/297648/18",2016-07-10 03:27:20,NA,"No","NA"
"2","/tracker/donor/262969/18",2016-07-10 03:16:13,5,"Yes","NA"
"3","/tracker/donor/328200/18",2016-07-10 03:00:03,5,"Yes","NA"
"4","/tracker/donor/312532/18",2016-07-10 02:41:40,20,"No","NA"
"5","/tracker/donor/304572/18",2016-07-10 02:41:00,10,"Yes","NA"
"6","/tracker/donor/328199/18",2016-07-10 02:27:12,50,"Yes","NA"
"7","/tracker/donor/314393/18",2016-07-10 02:15:04,10,"No","NA"
"8",NA,2016-07-10 02:10:11,300,"Yes","NA"
"9",NA,2016-07-10 02:05:56,20,"No","NA"
"10","/tracker/donor/51374/18",2016-07-10 01:54:02,20,"Yes","Super Mario 64 70 Star Encore 70 Star"
"11","/tracker/donor/328197/18",2016-07-10 01:52:09,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
"12","/tracker/donor/328196/18",2016-07-10 01:50:50,5,"Yes","Super Mario 64 70 Star Encore 70 Star"
"13",NA,2016-07-10 01:50:37,5,"Yes","Super Mario 64 70 Star Encore 70 Star"
"14","/tracker/donor/312975/18",2016-07-10 01:49:05,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
"15",NA,2016-07-10 01:48:57,50,"No","Super Mario 64 70 Star Encore 70 Star"
"16",NA,2016-07-10 01:48:37,50,"No","Super Mario 64 70 Star Encore 70 Star"
"17","/tracker/donor/328194/18",2016-07-10 01:48:07,5,"No","Super Mario 64 70 Star Encore 70 Star"
"18","/tracker/donor/328193/18",2016-07-10 01:47:50,30,"No","Super Mario 64 70 Star Encore 70 Star"
"19","/tracker/donor/328191/18",2016-07-10 01:47:49,15,"Yes","Super Mario 64 70 Star Encore 70 Star"
"20","/tracker/donor/29244/18",2016-07-10 01:47:37,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
"21","/tracker/donor/256102/18",2016-07-10 01:47:32,25,"Yes","Super Mario 64 70 Star Encore 70 Star"
"22","/tracker/donor/328189/18",2016-07-10 01:47:24,50,"Yes","Super Mario 64 70 Star Encore 70 Star"
"23","/tracker/donor/50982/18",2016-07-10 01:47:24,50,"Yes","Super Mario 64 70 Star Encore 70 Star"
"24",NA,2016-07-10 01:47:18,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
"25",NA,2016-07-10 01:47:13,50,"No","Super Mario 64 70 Star Encore 70 Star"
"26",NA,2016-07-10 01:46:58,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
"27",NA,2016-07-10 01:46:35,50,"No","Super Mario 64 70 Star Encore 70 Star"
"28",NA,2016-07-10 01:46:07,100,"No","Super Mario 64 70 Star Encore 70 Star"
"29","/tracker/donor/298817/18",2016-07-10 01:45:55,50,"No","Super Mario 64 70 Star Encore 70 Star"
"30","/tracker/donor/23856/18",2016-07-10 01:45:15,50,"Yes","Super Mario 64 70 Star Encore 70 Star"
"31",NA,2016-07-10 01:45:10,10,"No","Super Mario 64 70 Star Encore 70 Star"
"32",NA,2016-07-10 01:44:56,25,"Yes","Super Mario 64 70 Star Encore 70 Star"
"33","/tracker/donor/17125/18",2016-07-10 01:44:32,20,"Yes","Super Mario 64 70 Star Encore 70 Star"
"34","/tracker/donor/299717/18",2016-07-10 01:44:03,10,"Yes","Super Mario 64 70 Star Encore 70 Star"
